ID,DistrictNo,MandalName,Mandal_code,mandtype,ac_code,pc_code,ac_name,dist_name
1,1,"Adilabad rural",16,1,7,NULL,ADILABAD,"Adilabad "
2,1,Bazarhatnoor,01,1,8,NULL,"BOATH (ST)","Adilabad "
3,1,Bela,06,1,7,NULL,ADILABAD,"Adilabad "
4,1,Bheempur,11,1,8,NULL,"BOATH (ST)","Adilabad "
5,1,Bhoraj,17,1,7,NULL,ADILABAD,"Adilabad "
6,1,Boath,02,1,8,NULL,"BOATH (ST)","Adilabad "
7,1,Gadiguda,07,1,5,NULL,"ASIFABAD (ST)","Adilabad "
8,1,Gudihatnur,12,1,8,NULL,"BOATH (ST)","Adilabad "
9,1,Ichoda,18,1,8,NULL,"BOATH (ST)","Adilabad "
10,1,Indervelly,03,1,6,NULL,"KHANAPUR (ST)","Adilabad "
11,1,Jainath,08,1,7,NULL,ADILABAD,"Adilabad "
12,1,Mavala,13,1,7,NULL,ADILABAD,"Adilabad "
13,1,Narnoor,19,1,5,NULL,"ASIFABAD (ST)","Adilabad "
14,1,Neradigonda,04,1,8,NULL,"BOATH (ST)","Adilabad "
15,1,Sathnala,09,1,7,NULL,ADILABAD,"Adilabad "
16,1,Sirikonda,14,1,6,NULL,"KHANAPUR (ST)","Adilabad "
17,1,Sonala,20,1,8,NULL,"BOATH (ST)","Adilabad "
18,1,Talamadugu,05,1,8,NULL,"BOATH (ST)","Adilabad "
19,1,Tamsi,10,1,8,NULL,"BOATH (ST)","Adilabad "
20,1,Utnoor,15,1,6,NULL,"KHANAPUR (ST)","Adilabad "
21,1,"Adilabad (u) ",21,2,7,NULL,ADILABAD,Adilabad
22,2,Allapalli,17,1,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
23,2,Annapureddypalli,01,1,118,NULL,"ASWARAOPETA (ST)","Bhadradri Kothagudem"
24,2,Aswapuram,07,1,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
25,2,Aswaraopeta,12,1,118,NULL,"ASWARAOPETA (ST)","Bhadradri Kothagudem"
26,2,Bhadrachalam,18,1,119,NULL,"BHADRACHALAM (ST)","Bhadradri Kothagudem"
27,2,Burgampahad,02,1,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
28,2,Chandrugonda,08,1,118,NULL,"ASWARAOPETA (ST)","Bhadradri Kothagudem"
29,2,Cherla,13,1,119,NULL,"BHADRACHALAM (ST)","Bhadradri Kothagudem"
30,2,Chunchupalli,19,1,117,NULL,KOTHAGUDEM,"Bhadradri Kothagudem"
31,2,Dammapeta,03,1,118,NULL,"ASWARAOPETA (ST)","Bhadradri Kothagudem"
32,2,Dummugudem,09,1,119,NULL,"BHADRACHALAM (ST)","Bhadradri Kothagudem"
33,2,Gundala,14,1,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
34,2,Julurupadu,20,1,115,NULL,"WYRA (ST)","Bhadradri Kothagudem"
35,2,Karakagudem,04,1,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
36,2,Laxmidevipalli,10,1,117,NULL,KOTHAGUDEM,"Bhadradri Kothagudem"
37,2,Manuguru,15,1,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
38,2,Mulakalapally,21,1,118,NULL,"ASWARAOPETA (ST)","Bhadradri Kothagudem"
39,2,Palvancha,05,1,117,NULL,KOTHAGUDEM,"Bhadradri Kothagudem"
40,2,Pinapaka,11,1,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
41,2,Sujathanagar,16,1,117,NULL,KOTHAGUDEM,"Bhadradri Kothagudem"
42,2,Tekulapally,22,1,111,NULL,"YELLANDU (ST)","Bhadradri Kothagudem"
43,2,Yellandu,06,1,111,NULL,"YELLANDU (ST)","Bhadradri Kothagudem"
44,2,"Yellandu (u)",23,2,111,NULL,"YELLANDU (ST)","Bhadradri Kothagudem"
45,2,"Manuguru (u)",24,2,110,NULL,"PINAPAKA (ST)","Bhadradri Kothagudem"
46,2,"Kothagudem (mc)",25,3,117,NULL,KOTHAGUDEM,"Bhadradri Kothagudem"
47,3,Atmakur,04,1,104,NULL,PARKAL,Hanumakonda
48,3,Bheemadevarapalli,07,1,32,NULL,HUSNABAD,Hanumakonda
49,3,Damera,10,1,104,NULL,PARKAL,Hanumakonda
50,3,Dharmasagar,01,1,99,NULL,"GHANPUR (STATION) (SC)",Hanumakonda
51,3,Elkathurthi,05,1,32,NULL,HUSNABAD,Hanumakonda
52,3,Hasanparthy,08,1,107,NULL,"WARADHANAPET (SC)",Hanumakonda
53,3,Inavole,11,1,107,NULL,"WARADHANAPET (SC)",Hanumakonda
54,3,Kamalapur,02,1,31,NULL,HUZURABAD,Hanumakonda
55,3,Nadikuda,06,1,104,NULL,PARKAL,Hanumakonda
56,3,Parkal,09,1,104,NULL,PARKAL,Hanumakonda
57,3,Shayampet,12,1,108,NULL,BHUPALPALLE,Hanumakonda
