id,discipline_id,gender,cat_name,from_age,to_age,status,created_at
1,1,1,"Senior Men (Open)",5,65,1,"2024-11-29 17:02:39"
2,1,2,"Senior Women (Open)",5,65,1,"2024-11-29 17:02:39"
3,2,1,"Sub Jr Boys (U14)",5,13,1,"2024-11-29 17:02:39"
4,2,2,"Sub Jr Girls (U14)",5,13,1,"2024-11-29 17:02:39"
5,2,1,"Junior Boys (14 to 20)",14,20,1,"2024-11-29 17:02:39"
6,2,2,"Junior Girls (14 to 20)",14,20,1,"2024-11-29 17:02:39"
7,2,1,"Senior Men (Open)",21,65,1,"2024-11-29 17:02:39"
8,2,2,"Senior Women (Open)",21,65,1,"2024-11-29 17:02:39"
9,3,1,"Junior Boys (U17)",5,17,1,"2024-11-29 17:02:39"
10,3,2,"Junior Girls (U17)",5,17,1,"2024-11-29 17:02:39"
11,4,1,"Sub Jr Boys (U15)",5,15,1,"2024-11-29 17:02:39"
12,4,2,"Sub Jr Girls (U15)",5,15,1,"2024-11-29 17:02:39"
13,4,1,"Junior Boys (U19)",16,19,1,"2024-11-29 17:02:39"
14,4,2,"Junior Girls (U19)",16,19,1,"2024-11-29 17:02:39"
15,5,1,"Senior Men (Open)",5,65,1,"2024-11-29 17:02:39"
16,5,2,"Senior Women (Open)",5,65,1,"2024-11-29 17:02:39"
17,6,1,"Senior Men (U23)",5,23,1,"2024-11-29 17:02:39"
18,6,2,"Senior Women (U23)",5,23,1,"2024-11-29 17:02:39"
19,7,1,"Junior Men (U21)",5,21,1,"2024-11-29 17:02:39"
20,7,1,"Senior Men (Above 21)",21,65,1,"2024-11-29 17:02:39"
21,7,2,"Women (Open)",5,65,1,"2024-11-29 17:02:39"
22,8,1,"Sub Jr Boys (U14)",5,14,1,"2024-11-29 17:02:39"
23,8,2,"Sub Jr Girls (U14)",5,14,1,"2024-11-29 17:02:39"
24,8,1,"Junior Boys (U16)",14,16,1,"2024-11-29 17:02:39"
25,8,2,"Junior Girls (U16)",14,16,1,"2024-11-29 17:02:39"
26,8,1,"Senior Men (18 to 34)",16,34,1,"2024-11-29 17:02:39"
27,9,1,"Sub Jr Boys (U16)",5,16,1,"2024-11-29 17:02:39"
28,9,2,"Sub Jr Girls (U16)",5,16,1,"2024-11-29 17:02:39"
29,10,1,"Sub Jr Boys (U15)",5,15,1,"2024-11-29 17:02:39"
30,10,2,"Sub Jr Girls (U15)",5,15,1,"2024-11-29 17:02:39"
31,11,1,"Sub Jr Boys (U16)",12,16,1,"2024-11-29 17:02:39"
32,11,2,"Sub Jr Girls (U16)",12,16,1,"2024-11-29 17:02:39"
33,11,1,"Junior Boys (U18)",16,18,1,"2024-11-29 17:02:39"
34,11,2,"Junior Girls (U18)",16,18,1,"2024-11-29 17:02:39"
35,11,1,"Senior Men (Above 18)",18,65,1,"2024-11-29 17:02:39"
36,11,2,"Senior Women (Above 18)",18,65,1,"2024-11-29 17:02:39"
37,12,1,"Senior Men (Open)",5,65,1,"2024-11-29 17:02:39"
38,12,2,"Senior Women (Open)",5,65,1,"2024-11-29 17:02:39"
39,13,1,"Junior Boys (U17)",13,17,1,"2024-11-29 17:02:39"
40,13,2,"Junior Girls (U15)",12,15,1,"2024-11-29 17:02:39"
41,14,1,"Junior Boys (U19)",5,21,1,"2024-11-29 17:02:39"
42,14,2,"Junior Girls (U19)",5,21,1,"2024-11-29 17:02:39"
43,15,1,"Senior Men (Open)",5,65,1,"2024-11-29 17:02:39"
44,16,1,"Junior Boys (12 to 16)",12,16,1,"2024-11-29 17:02:39"
45,16,2,"Junior Girls (12 to 16)",12,16,1,"2024-11-29 17:02:39"
46,17,1,"Senior Men (Open)",5,65,1,"2024-11-29 17:02:39"
47,17,2,"Senior Women (Open)",5,65,1,"2024-11-29 17:02:39"
