district_name,special_officer_name,contact_no,designation
Adilabad,To Be Updated,To Be Updated,Special Officer
Bhadradri kothagudem,To Be Updated,To Be Updated,Special Officer
Hanumakonda,To Be Updated,To Be Updated,Special Officer
Hyderabad,To Be Updated,To Be Updated,Special Officer
Jagithyal,To Be Updated,To Be Updated,Special Officer
Jangaon,To Be Updated,To Be Updated,Special Officer
Jayashankar bhupalpally,To Be Updated,To Be Updated,Special Officer
Jogulamba gadwal,To Be Updated,To Be Updated,Special Officer
Kamareddy,To Be Updated,To Be Updated,Special Officer
Karimnagar,To Be Updated,To Be Updated,Special Officer
Khammam,To Be Updated,To Be Updated,Special Officer
Kumuram bheem (asifabad),To Be Updated,To Be Updated,Special Officer
Mahabubabad,To Be Updated,To Be Updated,Special Officer
Mahabubnagar,To Be Updated,To Be Updated,Special Officer
Mancherial,To Be Updated,To Be Updated,Special Officer
Medak,To Be Updated,To Be Updated,Special Officer
Medchal-malkajgiri,To Be Updated,To Be Updated,Special Officer
Mulugu,To Be Updated,To Be Updated,Special Officer
Nagarkurnool,To Be Updated,To Be Updated,Special Officer
Nalgonda,To Be Updated,To Be Updated,Special Officer
Narayanpet,To Be Updated,To Be Updated,Special Officer
Nirmal,To Be Updated,To Be Updated,Special Officer
Nizamabad,To Be Updated,To Be Updated,Special Officer
Peddapalli,To Be Updated,To Be Updated,Special Officer
Rajanna sircilla,To Be Updated,To Be Updated,Special Officer
Ranga reddy,To Be Updated,To Be Updated,Special Officer
Sangareddy,To Be Updated,To Be Updated,Special Officer
Siddipet,To Be Updated,To Be Updated,Special Officer
Suryapet,To Be Updated,To Be Updated,Special Officer
Vikarabad,To Be Updated,To Be Updated,Special Officer
Wanaparthy,To Be Updated,To Be Updated,Special Officer
Warangal,To Be Updated,To Be Updated,Special Officer
Yadadri bhuvanagiri,To Be Updated,To Be Updated,Special Officer
BYE,To Be Updated,To Be Updated,Special Officer
