fixture_id,gender,disc_id,match_no,match_day,match_date,match_time,end_time,round_name,group_id,team1_dist_id,team2_dist_id,venue,result
1,1,14,NULL,Day-1,NULL,"08:00 AM",NULL,NULL,1,12,16,NULL,NULL
2,1,14,NULL,Day-1,NULL,"08:00 AM",NULL,NULL,2,23,31,NULL,NULL
3,1,14,NULL,Day-1,NULL,"08:00 AM",NULL,NULL,3,10,6,NULL,NULL
4,1,14,NULL,Day-1,NULL,"08:00 AM",NULL,NULL,4,26,21,NULL,NULL
5,2,14,NULL,Day-1,NULL,"09:00 AM",NULL,NULL,1,4,32,NULL,NULL
6,2,14,NULL,Day-1,NULL,"09:00 AM",NULL,NULL,2,28,30,NULL,NULL
7,2,14,NULL,Day-1,NULL,"09:00 AM",NULL,NULL,3,3,20,NULL,NULL
8,2,14,NULL,Day-1,NULL,"09:00 AM",NULL,NULL,4,1,26,NULL,NULL
9,1,14,NULL,Day-1,NULL,"10:00 AM",NULL,NULL,5,14,11,NULL,NULL
10,1,14,NULL,Day-1,NULL,"10:00 AM",NULL,NULL,6,32,20,NULL,NULL
11,1,14,NULL,Day-1,NULL,"10:00 AM",NULL,NULL,7,1,2,NULL,NULL
12,1,14,NULL,Day-1,NULL,"10:00 AM",NULL,NULL,8,4,24,NULL,NULL
13,2,14,NULL,Day-1,NULL,"11:00 AM",NULL,NULL,5,23,22,NULL,NULL
14,2,14,NULL,Day-1,NULL,"11:00 AM",NULL,NULL,6,11,17,NULL,NULL
15,2,14,NULL,Day-1,NULL,"11:00 AM",NULL,NULL,7,9,7,NULL,NULL
16,2,14,NULL,Day-1,NULL,"11:00 AM",NULL,NULL,8,25,18,NULL,NULL
17,1,14,NULL,Day-1,NULL,"12:00 PM",NULL,NULL,1,29,7,NULL,NULL
18,1,14,NULL,Day-1,NULL,"12:00 PM",NULL,NULL,2,23,22,NULL,NULL
19,1,14,NULL,Day-1,NULL,"12:00 PM",NULL,NULL,3,10,30,NULL,NULL
