ID,DistNo,MandalNo,VillageName,ass_nm,parl_nm,dist_nm,mandal_nm,ac_code,pc_code,cluster_id
1,1,1,Allikori,NULL,NULL,NULL,NULL,NULL,NULL,1
2,1,1,Ankapur,NULL,NULL,NULL,NULL,NULL,NULL,1
3,1,1,Ankoli,NULL,NULL,NULL,NULL,NULL,NULL,1
4,1,1,Arli(B),NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,1,Asodha,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,1,Bheemseri,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,1,Burnoor,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,1,Chanda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,1,Chichdari,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,1,Chinchughat,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,1,Chityalbori,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,1,Dimma,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,1,Hathigutta,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,1,1,Jamdapur,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,1,1,Kachkanti,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,1,1,Khanapur-CH,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,1,1,Khandala,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,1,1,Kumbhajheri,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,1,1,Landasangvi,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,1,1,Linguguda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,1,1,Lohara,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,1,1,Lokari,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,1,1,Mamidiguda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,1,1,"Pedda Maleborigaon",NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,1,1,Pippaldhari,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1,1,Pochara,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,1,1,Thantholi,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,1,1,Tippa,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,1,1,Wanwat,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,1,1,Yapalguda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,1,1,Yeshwanthguda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,1,2,Ananthapur,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,1,2,Andhuguda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,1,2,Bazarhathnoor,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,1,2,Bhosra,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,1,2,Bhutai-B,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,1,2,Bhutai-K,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,1,2,Burkapally,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,1,2,"Chandunaik Thanda",NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,1,2,"Chintal Sangive",NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,1,2,Darampuri,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,1,2,Dedra,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,1,2,Dehgaon,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,1,2,Dignoor,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,1,2,Gangapur,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,1,2,Girjai,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,1,2,Girnur,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,1,2,Gokonda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,1,2,"Gulab Thanda",NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,1,2,Harkai,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,1,2,Jatarla,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,1,2,Kandly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,1,2,Kinnerpally,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,1,2,Kolahari,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,1,2,"Manjram Thanda",NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,1,2,Mankapur,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,1,2,Morkhandi,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,1,2,Pipri,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,1,2,Rampur,NULL,NULL,NULL,NULL,NULL,NULL,NULL
